4201273;-27.13474252;-52.17962276;2020-01-01;2020-09-30
4201307;-26.44267944;-48.76275066;2020-01-01;2020-09-30
4201406;-28.94577373;-49.50615012;2020-01-01;2020-09-30
4201505;-28.23408975;-49.01932206;2020-01-01;2020-09-30
3301850;-22.59032003;-42.95073941;2020-01-01;2020-09-30
3304128;-22.36296305;-44.24938426;2020-01-01;2020-09-30
2102200;-3.882214937;-42.96361281;2020-01-01;2020-09-30
4125803;-23.82991637;-51.88364389;2020-01-01;2020-09-30
2205359;-8.55138838;-42.43451108;2020-01-01;2020-09-30
4106506;-25.99411579;-52.56045176;2020-01-01;2020-09-30
2205607;-7.332101657;-43.93850981;2020-01-01;2020-09-30
3144409;-22.1439305;-45.56056446;2020-01-01;2020-09-30
3128907;-18.7967095;-46.77397376;2020-01-01;2020-09-30
3549805;-20.7840945;-49.36762784;2020-01-01;2020-09-30
3549904;-23.061549;-45.95750522;2020-01-01;2020-09-30
3549953;-23.85648071;-46.93250513;2020-01-01;2020-09-30
3140852;-14.837787;-43.72052686;2020-01-01;2020-09-30
3144300;-17.735598;-40.44475394;2020-01-01;2020-09-30
3144508;-21.212915;-44.64857633;2020-01-01;2020-09-30
4116802;-24.63142004;-52.54010704;2020-01-01;2020-09-30
4313011;-27.60277298;-54.14135968;2020-01-01;2020-09-30
4101309;-25.94377081;-50.10314849;2020-01-01;2020-09-30
3145406;-21.9092605;-43.94730552;2020-01-01;2020-09-30
3145455;-17.5483265;-43.673846;2020-01-01;2020-09-30
2924678;-13.81722337;-39.37295763;2020-01-01;2020-09-30
2924702;-15.00178288;-41.6964333;2020-01-01;2020-09-30
2508307;-7.148223184;-35.85567078;2020-01-01;2020-09-30
4311718;-29.04647523;-55.85685408;2020-01-01;2020-09-30
3138104;-17.875903;-44.70987361;2020-01-01;2020-09-30
4311700;-27.59144231;-51.66651021;2020-01-01;2020-09-30
4311775;-29.624627;-50.2561425;2020-01-01;2020-09-30
4314308;-28.445844;-53.62211758;2020-01-01;2020-09-30
4102802;-23.00829983;-51.24489021;2020-01-01;2020-09-30
4102901;-26.14502426;-51.4962499;2020-01-01;2020-09-30
4107504;-23.76135167;-52.28210884;2020-01-01;2020-09-30
4108320;-24.09799146;-53.8861086;2020-01-01;2020-09-30
2906600;-14.42928192;-42.84603087;2020-01-01;2020-09-30
4109906;-23.3737018;-53.6007916;2020-01-01;2020-09-30
4112306;-23.71119425;-50.18082987;2020-01-01;2020-09-30
4113106;-23.86339568;-51.67294685;2020-01-01;2020-09-30
4113601;-22.97867069;-51.97146962;2020-01-01;2020-09-30
2103125;-2.254191262;-44.83403009;2020-01-01;2020-09-30
4115309;-26.32632528;-52.59485009;2020-01-01;2020-09-30
4116109;-24.02265117;-53.00030489;2020-01-01;2020-09-30
4117255;-25.58671458;-53.38540508;2020-01-01;2020-09-30
4117214;-23.59502127;-50.74488235;2020-01-01;2020-09-30
2704708;-9.718758326;-35.89413636;2020-01-01;2020-09-30
1507201;-1.928972735;-47.7604613;2020-01-01;2020-09-30
4118808;-23.9295859;-52.30246942;2020-01-01;2020-09-30
2605202;-8.366190546;-35.26272168;2020-01-01;2020-09-30
1501303;-1.448703846;-48.63816996;2020-01-01;2020-09-30
2108405;-2.559456698;-44.92057905;2020-01-01;2020-09-30
2110658;-6.852227539;-44.60124242;2020-01-01;2020-09-30
2304301;-6.906437586;-39.50510923;2020-01-01;2020-09-30
2310704;-3.876421378;-39.09638602;2020-01-01;2020-09-30
2310803;-6.006865074;-38.46274952;2020-01-01;2020-09-30
2922052;-12.01831963;-41.51614681;2020-01-01;2020-09-30
2922102;-11.87102772;-40.47119081;2020-01-01;2020-09-30
2922201;-13.00073648;-39.09374146;2020-01-01;2020-09-30
2922250;-12.21249253;-43.57890473;2020-01-01;2020-09-30
2930808;-11.98406666;-41.82366519;2020-01-01;2020-09-30
2930907;-12.50476388;-44.2106837;2020-01-01;2020-09-30
2931004;-14.1294777;-41.19237357;2020-01-01;2020-09-30
1300300;-3.830255086;-59.45139283;2020-01-01;2020-09-30
1300409;-0.140982795;-63.18309813;2020-01-01;2020-09-30
1300508;-3.136820653;-57.24007701;2020-01-01;2020-09-30
1300607;-5.499744917;-70.32302615;2020-01-01;2020-09-30
1300839;-3.054571397;-61.939869;2020-01-01;2020-09-30
1301852;-3.086368589;-60.66590558;2020-01-01;2020-09-30
1302009;-2.545621004;-58.65549138;2020-01-01;2020-09-30
2702405;-9.399374062;-38.05082337;2020-01-01;2020-09-30
2705804;-9.436193833;-37.82721238;2020-01-01;2020-09-30
2706307;-9.409896782;-36.60368018;2020-01-01;2020-09-30
2706901;-9.600824141;-35.98654426;2020-01-01;2020-09-30
2708808;-9.955331692;-36.55179143;2020-01-01;2020-09-30
